mmsi,lat,lon,sog,cog,haeding,vesselname,imo,callsign,vesseltype,status,length,width,draft,cargo,tclass,direction
367427050,36.046949662384804,28.92362025966291,0.2,-150.5,511,DEBRA DEVALL,,WDF2296,31,15,12,5,,0,B,we
367747610,36.33197193605163,29.462114614376198,14.7,-119.5,511,BRANDON G,,WDI9334,60,0,,,,,B,we
367710720,36.11688432535485,31.556598938512238,0.9,-180.1,511,RUTH E,,WDI5650,31,0,14,,,,B,we
367528070,38.666176006486864,4.235603153530206,5.2,201.8,511,MICHELLE ELISE,,WDG3632,31,0,19,7,,,B,we
495270931,42.88164534742616,28.671670724585077,0.4,67.9,511,PILOTN0,4,,WDA5463,0,15,0,0,0,0,sn
368004190,44.49463034539431,35.40105887548577,3.2,-75,327,KRISTIN JOELLE,IMO6604016,WDJ7186,31,0,25,7,,31,A,ns
367076210,44.14486353845068,38.81997074991063,0,0.1,36,WICOMICO,IMO9377444,WDC7747,31,8,29,10,4,32,A,
367301540,35.941312756773506,33.726072515974856,9.6,-119.6,511,CONOR AND MICHAEL,IMO7908067,WDD8696,30,,22,6,2.7,,B,we
366842960,36.553569788840356,-0.944772683534601,7.8,159.2,157,BETH WILSON,IMO8975768,WDA7404,31,0,25,9,,,B,we
367551340,39.57998704511967,19.485710697101993,0,-123.2,511,ALEX MCALLISTER,IMO8601159,WDG5889,31,0,26,10,3.8,,B,ns
367078850,44.611741069470725,29.395929079646958,5.6,88.5,102,ROBERT BURTON,IMO8644369,WDC7911,31,0,20,6,,,A,sn
338182085,32.236550648536756,29.143674122331458,1.3,97.7,96,TARTINE,IMO0000000,,36,0,10,3,,,B,ew
338099721,32.0267645560615,30.984775809359576,9.9,-138.8,511,PILOT2,,,50,,,,,,B,ew
367144870,39.682857745948326,4.500092046824957,0,189,338,CROSBY COURAGE,IMO7626267,WDD4452,31,0,38,11,5.4,,B,we
338184034,40.311372181439054,19.36721953410399,1.3,123.9,511,YIASOU II,IMO0000000,,37,,24,5,,,B,ns
367724490,43.096410701592234,28.394931489907883,0,134.2,194,CHRISTOPHER SCOTT,,WDI7014,31,0,,,,,A,sn
316021522,44.28594152443049,29.96914747528791,0.1,103.2,511,HOUNDS HOLLOW,IMO0000000,VA7EJG,36,,13,4,,,B,sn
338210796,44.07662759857834,38.76494782860326,0,-168.5,511,KERRY'D AWAY,IMO0000000,,37,,10,4,,,B,
220644000,40.75355810420967,28.183176239186732,13.6,150.9,144,ERRIA SWAN,IMO9347748,OWDI2,80,0,129,19,8,,B,ew
366971980,41.05217933899783,29.047559247911305,0,186.2,57,MILLENNIUM STAR,IMO9228942,WDA2184,31,0,32,10,4.9,52,B,sn
368095720,35.179443242363845,34.56828566993767,0,-49.6,511,VALKYRIE,IMO0000000,WDK8602,37,,21,5,,,B,we
367610680,36.58992174084723,35.39181102680165,0,202,511,MAE ETTA HINES,,WDH3766,31,0,40,14,,31,B,we
367010190,33.980107305786625,24.8714015165718,0,-49.6,511,ATLANTIS,IMO8990990,WDC3559,60,0,44,9,2,60,B,ew
367702290,33.375609345153045,27.713892866528802,5,8.4,2,MIKE WEISEND,,WDI4815,31,12,47,14,,,B,ew
366971360,32.27567550993657,28.857174466607834,0,-93.6,297,JOHN G MUNSON,IMO5173670,WDH7557,70,0,234,22,8.2,,B,ew
354277000,36.42572542562332,24.588266739301474,11.9,-70.1,340,CARNIVAL MIRACLE,IMO9237357,H3VS,60,0,292,38,7.8,69,B,we
367766740,36.04388985905943,34.52368944007977,2.7,94.1,511,SHAWN WILLIAMS,,WDJ3307,31,0,,,,,B,we
339814000,38.51095107672518,4.046771011491083,7.9,126,122,INSPIRED,IMO0000000,6YTY4,37,,36,8,,,B,we
566208000,38.707931429917906,4.234081749763052,8,-172.3,237,CEMTEX HONOR,IMO9727091,9V2766,70,0,228,36,14,,B,we
367633000,37.99325239663664,7.588307560240505,11.1,-136.5,275,LONESTAR STATE,IMO9697985,WLSY,80,0,178,,,,B,we
367728240,42.403422790711396,27.784395893482877,0,-154.7,350,HONDO,,WDI7389,31,0,28,10,,57,B,sn
366960890,42.145303073336954,7.3911524255975385,0,-156.6,511,CAPE HENLOPEN,IMO7303889,WCJ9409,31,0,30,9,4.3,,B,ew
367012750,43.97003881935359,34.48804049272195,3.5,138.8,136,HELOISE,,WCX2940,31,12,37,10,,,B,ns
366993880,44.41216056992441,38.03073309127076,0.5,126,511,MISTER T,IMO8968222,WDC2491,31,0,24,7,3.4,,B,
367406910,40.77317235662273,28.14102208858597,0,-142.2,27,FRANCES ANNE,,WDE8555,30,,20,5,,,B,ew
367061140,31.99259033021122,32.612249262035334,0,-194.2,511,SAVANNAH,,WSW6620,90,0,17,4,,50,B,we
366862680,32.997681622057186,30.06102736858636,0,-49.6,511,BAYCAT,,WDA9210,31,0,16,6,,,B,ew
316006101,40.05429366235951,2.6972181592126736,0,-105.3,511,CINDY MOZEL,IMO7406708,CFN6143,31,0,23,7,3.9,52,B,sn
366749710,44.24262786659435,34.46300598892338,0,-83.7,76,WSF WENATCHEE,IMO9137351,WCY3378,60,0,138,27,5.3,,B,ns
367618130,36.513449582057454,22.943592899917405,0,117.1,166,CAPE HORN,IMO9744611,WDH4474,90,0,65,14,4,,B,we
367186360,36.525309244903546,23.795313394220653,0,128.1,311,CAPT TIMMY CALLAIS,,WDD7434,31,5,26,9,,,A,we
366074000,36.37330058308551,-0.5721218403479411,0,140.4,511,RMS VICTORY,,WDG5259,60,0,25,7,,25,B,sn
367006420,38.371079306197906,1.4857532257569992,4.8,-131.5,280,RUBY GONSOULIN,,WDC3353,31,0,21,8,,31,B,sn
367003480,40.11308151005392,12.115515575943261,7.6,175,511,KITTY,,WDF2425,31,0,20,8,,57,B,we
372192000,31.59497,-137.44228,9.8,93,96,KUMANO,IMO9333761,3EHO5,70,0,174,28,10.3,70,B,
367481380,40.61776623277163,27.223725699729467,0,-153.6,511,POTOMAC,,WDF7130,,5,16,5,,,A,ew
367120990,44.889079558236325,29.863614652411208,0.1,161.8,511,AMERICAN INTEGRITY,IMO7514696,WDD2875,70,0,304,32,10.4,70,B,sn
366934030,43.855064810027166,37.87414042322081,0,-151.3,511,MILTON W,IMO8635485,WCY5041,31,0,17,7,,31,B,
367584070,34.46427702238714,34.185273246909325,7.1,23.7,511,ISLAND WIND,IMO8867894,WDG9077,31,0,27,9,,32,B,we
366921370,35.04684503641874,34.486133270139156,2.1,95.9,511,C R HADEN,IMO7502356,WYG6905,31,0,29,9,5.2,31,B,we
368922000,42.54192788614937,16.62692277709624,0,0,55,CAPE DUCATO,IMO7208297,WMHF,70,5,207,29,9.6,,A,ns
303672000,44.43114175522837,34.96940486660352,7.5,4.9,2,RIO GRANDE EXPRESS,IMO9301823,KRIH,73,0,260,32,10.3,73,B,ns
366842850,43.875516895610964,38.05669995212267,0.1,-167.2,511,FREYA,,WDG8957,37,,10,3,,,B,
338105526,40.53588825228251,27.51126375930082,0,0,511,SANTA MARIA,,,37,,,,,,B,ew
367768250,36.26740186907621,14.116880384548555,0,-186.7,511,R E STOTZER JR,,WDJ3467,60,15,,,,,B,ew
366967740,38.96179506755209,2.177653101474777,3.8,-156.6,511,HELENE MARIA,,WAG6868,31,0,20,7,,31,B,we
311000274,37.45209625035691,0.7159655188412617,5.8,90,89,ANTHEM OF THE SEAS,IMO9656101,C6BI7,60,0,347,41,8.8,,B,sn
366962000,44.53302625464204,38.46742349565164,13.1,-173,237,MISSISSIPPI VOYAGER,IMO9131369,WDD7294,80,0,183,32,12.2,80,A,
367712180,41.19170228676086,29.095590911356883,0,-49.6,511,JEFFREY LEE,,WDI5793,31,15,14,,,,B,ns
367522850,39.30032774270929,6.7226829032675575,4.5,-54.4,354,LAINEY JONES,,WDG3135,31,0,48,12,,,B,we
367141080,42.877376477465674,15.293842518370733,0,-163.4,295,LOUISIANAN,,WDD4166,31,0,21,9,,57,B,ns
367113960,41.97454502774044,16.14852707321156,0,0,511,CAPT CHARLIE,,WDD2337,31,0,17,6,,52,B,ns
338104055,42.22873003871436,5.057659245405681,0,197.7,511,KELLY L,,,90,3,29,9,,33,B,sn
367490790,29.72052,-95.23805,9,-173.4,511,ANDREW K,IMO8835126,WDF8044,31,0,26,10,,,B,
367691660,44.74010913444345,35.13935757312677,0,-116.9,511,BIBI,,WDI3764,37,7,19,5,,,B,ns
316001232,42.603594898422436,28.527940980401905,12.9,146.9,154,BOWEN QUEEN,IMO6600967,VGXR,60,0,84,18,2.4,60,A,sn
366963340,33.877346254284994,34.00620877618103,0.5,-98.1,330,DICK TOMAYKO,,WDB8729,31,0,18,7,,,B,we
367402820,37.78752116165822,8.974447303036808,3.5,-111.3,301,AFFIRMED,,WDE8208,31,15,22,9,,57,B,ew
367788780,34.31906739199042,23.45002666642651,0.1,-180.4,511,MISS GABRIELLA,,WDJ5552,31,0,26,9,3.5,,B,ew
368092350,44.27631279345741,38.29877149466346,0,169.1,130,DAUNTLESS,,WDK8254,30,15,24,7,0,30,B,
366499000,42.18050044260375,27.660945650966124,0,-105.7,183,KATIE ANN,IMO6931055,WASF,30,0,89,13,5.8,30,B,sn
477999500,45.449855587679,29.968604950313797,0,192.1,358,SEAPACIS,IMO9304356,VRBE2,80,5,241,42,14.9,80,A,sn
367107990,35.627148520629525,35.07859068427831,19.5,-100,321,J J CALLIS,,WDI7538,60,0,32,7,,60,B,we
538005193,34.090471778640165,24.559292246159202,0,203,181,BRYANT,IMO9544700,V7BT3,70,5,224,32,14.1,70,A,ew
366997830,33.22262695976686,25.60912951660775,0,99.7,511,LAUREN ELIZABETH,IMO8635796,WDC2795,31,0,18,8,,31,B,ew
367608420,37.927588754440386,11.20352096504623,0,0,511,PETER J BRIX,IMO9772905,WDH3546,31,0,23,8,,,B,ew
366988240,36.23951718935237,28.27103086962,0,176.9,511,GOLD STAR,,WDC2121,31,0,17,6,,,B,we
304679000,36.471375589465005,21.62880621804284,12.8,-173.3,235,BBC CAMPANA,IMO9291963,V2BN7,70,0,138,21,8,70,B,we
357381000,38.93431604610245,7.759374455487997,7.8,-86.8,323,BULK PANGAEA,IMO9187722,3FHP9,70,0,225,32,13.9,,B,we
367070910,43.22810499724158,14.488314214286758,0,-154.8,511,REBECCA ANN,,WDH2802,31,0,18,5,,,B,ns
259917000,46.039179963539894,30.70337619456503,11,-149.8,258,HOEGH MAPUTO,IMO9431850,LAJS7,70,0,182,31,9,90,B,sn
367396770,44.09730872868896,38.76013860553366,0,-171.9,511,FRANCES ANN,,WDE7720,31,0,21,7,,31,B,
367362460,31.719967992585996,32.42052264198419,0,-189.8,511,B L DARNELL,,WDE5130,31,0,19,7,,,B,we
367007110,44.47242830832113,29.563964691378104,2.6,-165.8,238,CECILIA B SLATTEN,IMO8964757,WDC3386,31,0,29,11,4,,B,sn
366872170,46.184799496787925,30.54646853684412,1.7,-134.1,289,MCCORMACK BOYS,,WDB2090,31,0,22,7,,,A,sn
367081860,38.37956373438321,5.621901439660961,0,21.2,317,AUSTIN GOLDING,,WDC8113,31,12,27,8,,,B,we
366772760,38.71943170830736,21.00227709736565,0,-104.8,280,WSF TACOMA,IMO9133977,WCX9244,60,0,138,27,5.3,,B,ns
636016318,38.36689034380296,9.557001284267137,9.5,-143,266,VSC CASTOR,IMO9676084,D5FN5,70,0,190,32,12.7,,B,we
367607740,37.0264615643961,2.804596200115855,0,-49.6,186,MYSTIQUE,,WDH3479,37,0,25,,,,A,we
367430210,36.37300219420197,-2.36470359590605,2.8,-174.6,511,MISS ALEX,,WDF2641,31,15,34,10,,31,B,we
367593050,39.086646755923084,7.624903160546658,0,130,88,SIMONE BRUSCO,IMO9748980,WDG9967,31,15,24,8,,,B,we
366961670,38.73332526435899,15.527926920973208,0,-49.6,511,CAPT LEROY,,WCZ5746,31,0,16,6,,,B,we
366993380,40.33255105971081,11.572723772336971,0,173,275,GRACE NICOLE,,WDC2451,31,0,25,9,,31,B,we
367338430,29.96039,-90.28956,0,-202,511,TERREL WILLIAMS,,WDE3390,31,0,18,7,,31,B,
319116200,44.68518129653736,29.98186752280358,0,124.7,79,BOOK ENDS,IMO1013145,ZGGI2,,5,,,,,A,sn
368926056,44.34684710784288,38.6468384161799,0,-137.4,235,USS OMAHA,,NOMA,90,0,,,,,A,
367507220,32.390173643314796,30.20230846973904,0,-179.8,511,TEDDY MEYER,,WDF9635,31,12,27,,,,B,we
366659730,43.88020503513806,33.17796993659947,12.3,93.9,511,CHRISTINE ANDERSON,,WDC6286,60,15,60,20,,,B,sn
338127553,35.49322552061523,18.221159858635538,0,-163.5,7,INDISCRETION,,,37,0,31,6,,37,B,we
353719000,44.22791990053073,38.143655355570644,18.4,-144.6,264,MSC MATILDE,IMO9181663,HODP,70,0,294,32,13.5,,B,
367586370,38.399201429867034,20.721071352670084,0,-182.9,511,NASHVILLE,IMO9688570,WDG9297,90,1,33,20,,,A,ns
367417340,40.764899278308484,28.068248263916427,0,-49.6,511,SALTERY PROVIDER,,WDE9447,70,0,15,4,,,B,we
366943760,36.07933853417001,-2.8253977618259327,8.2,-78.4,511,SEA MULE,,WDB7537,31,15,15,6,,,A,we
316014170,40.583251501381106,27.46662802798703,0,203.7,215,EVANS SPIRIT,IMO9327774,XJBZ,70,0,139,21,7.7,70,B,we
367509760,37.26882489634811,9.828957027611239,0,0,511,MUSKEGON RIVER,,WDF9879,90,15,16,4,,,B,we
368071980,44.530555359843724,35.37640147821143,0,-172.1,20,BEVERLY R.MCALLISTER,IMO9204398,WDK6177,52,0,33,13,6,52,B,sn
367587440,35.97509521205677,33.52248469277188,0,204.4,511,PELHAM,IMO5108182,WDG9405,31,0,25,8,2.5,52,B,we
367353660,36.167434751813225,31.537806822498904,0.1,-111.6,36,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,B,we
367641540,36.325328740861124,28.3369957938375,0,-129.6,205,CAROL ANN GOLDING,,WDH6780,31,12,22,,,,B,we
367622140,36.8046477992582,0.2284478987263361,0,0,511,THE MANHATTAN,,WDH4861,60,0,29,6,,,B,we
367619370,35.87350457661838,33.96413029735949,0.2,33.1,220,WHITETAIL,IMO9717307,WDH4596,90,0,61,14,4.3,,B,we
367477560,39.27114720203746,3.466176595621854,7.2,-157.9,254,CAPT PIC NAQUIN,,WDF6760,31,0,25,9,,,B,we
367540560,39.62973567850539,2.1270202899759187,0,58,511,ROBERT T,IMO7738981,WDI8475,31,12,22,7,,,B,we
367467120,41.657672528175226,16.852315475940614,0.1,-201.8,511,AVA FOSS,,WDF5779,60,5,18,5,,60,A,ns
366961419,44.411067363356686,13.884214431143251,0,149.9,511,JOHN D GEARY,IMO100538269,WDL2150,31,0,47,13,2.7,31,B,ns
258009000,42.77450571370778,5.832965724862649,12.3,103.3,100,STAR LIVORNO,IMO9593907,LAQM7,70,0,204,32,12.6,,B,sn
367014420,29.47976,-89.69199,0,179.1,511,PINE BLUFF,,WDC3801,31,0,23,8,,,B,
366953850,37.03972,-88.53322,0,0,511,DENNIS C BOTTORFF,,WDB8149,31,12,46,15,,,B,
367440830,30.28251,-91.15571,0,-166.1,511,ELIZABETH B,IMO9585235,WDF3516,31,0,29,10,,31,B,
366726650,56.81142,-132.96597,0,-132.6,511,ALEUTIAN SPIRIT,,WCW9448,30,,15,5,,,B,
367518670,32.78874,-88.06396,0,114,17,LEADER,,WDG2731,31,5,26,9,,31,A,
367001310,29.67725,-91.22502,0,-178.9,511,TIM TAUZIN,,WDC3040,90,5,0,0,6,90,A,
566851000,29.72527,-95.26318,0,108.5,72,GENUINE HERCULES,IMO9597147,9V9468,80,5,170,26,11.5,89,A,
247289800,44.948023356120885,29.878981007795037,16.4,-74,337,GRANDE CAMEROON,IMO9377482,ICEW,70,0,210,32,9.8,,B,sn
367187130,46.34440205827066,30.877476182668595,0,-49.6,511,COLUMBIA RIVER,,WDD7488,60,0,11,4,,,B,sn
366916840,45.920957832024655,30.655058213238092,0,-191.6,511,EULA B DEVALL,IMO8983064,WDB6046,31,0,22,9,,,B,sn
367509850,42.31427034199318,28.0593358682839,8,-187.5,511,JAMES A MORAN,IMO9618874,WDF9887,31,0,27,12,3.2,,B,sn
368011470,43.191405990625356,29.067724887238196,0,-184,511,LOUISE,,WDJ7929,31,0,17,7,,31,B,sn
352057000,43.370159638752085,28.831115480175168,8.3,-77.6,332,ULTRA REGINA,IMO9667435,HPHA,70,0,199,32,13,,B,sn
367597650,43.95726398007582,38.74432545336898,0.2,-93.6,33,ROCKAWAY,IMO9648063,WDH2443,90,0,88,21,4.6,,B,
311256000,42.72509389776499,33.30560958835619,1.8,12,38,EVRIDIKI,IMO9358929,C6WT8,80,0,228,32,14.3,80,B,ns
235010170,44.14435386539043,37.11288617401999,14.1,3.5,4,AMY C,IMO9331505,MKWC7,70,0,136,21,8.3,79,B,ns
367664120,43.94112172324839,38.17075476909173,0,164.5,511,ANAMCARA,,WDH9041,37,,14,,,,B,
366648910,40.84633400619168,28.474584390046935,1.3,-102.9,511,STRAIT ARROW,,WDH7298,60,0,19,4,,,B,we
367092210,41.16599628994602,29.06373335322645,4.6,24.1,57,GALE C,,WDC8728,31,0,56,15,,,B,ns
367003820,31.75068730142393,32.49741892888224,0,30.3,511,PHILOMENE P PERERA,,WDD4757,31,0,15,7,,31,B,we
367486220,36.04030804586026,-4.841124229441474,0,-186.7,511,ARANSAS PILOT,,WDF7605,90,0,15,5,,,A,we
367014480,31.817438669814294,30.806868033033634,0.1,191.9,511,DURANGO,,WDC3807,31,0,18,7,,52,B,we
367396890,17.9373,-66.15593,0,-125.7,108,MITCHEL,IMO6602238,WDE7728,31,0,29,8,3.6,52,B,
367085680,35.066171265881465,34.45275461639541,0,-88.3,72,BIG BLUE,IMO7940015,WDC8351,30,7,23,7,,30,B,we
367743510,33.60589,-117.90956,0,-175.8,511,SILVER OAK,,WDI8923,37,,,,,,B,
367751050,33.64985834942755,27.078655075907722,0,137,96,CHAD PREGRACKE,,WDI9674,31,0,,,,,B,we
367098340,42.46326463843706,31.77784410049873,32.5,6.3,5,KEY WEST EXPRESS,IMO9348895,WDC9158,60,0,51,11,1.4,0,B,ns
316033399,42.73408162080357,33.29867211462214,0,-110.5,318,SST SALISH,IMO9744489,CFCP,,8,,,,,B,ns
209430000,36.51317243600127,-0.63776558147865,9.9,-120.6,289,MYKONOS WAVE,IMO9453406,5BMN3,70,0,229,36,14.3,,B,we
367113860,43.66770737304044,13.88935349697376,16.2,38.2,511,TRISHA-KAY,,WDD2328,60,15,35,7,,60,B,ns
367420980,38.69735399320049,2.759424671773071,0,-176.1,511,DUTCHMAN,IMO9585209,WDE9761,60,0,46,9,,60,B,sn
367631680,38.328613934824986,9.001169383607058,4.9,169.3,171,MISS LILLIE,,WDH5807,31,0,24,9,,31,A,we
366546420,40.37108197518214,11.477429162510765,7.3,200.1,511,LOFOTEN SPIRIT,,WDI8349,37,,,,,,B,we
367605850,44.177597588240374,33.70444213792195,6.4,-176.5,235,HMS JUSTICE,,WDH3254,31,5,22,,,,B,sn
367724740,42.90857792589601,33.051929753601506,22.2,-194.7,511,LA ESPADA,IMO8793328,WDI7035,60,15,,,,,B,ns
368926038,41.19861079350281,29.10039458098183,-0.1,-49.6,265,CHANNAHON,,AEOG,,15,,,,,B,ns
366984320,34.13345001580771,34.19641640871804,0,-105.6,19,CRIMSON GEM,,WDB9875,31,12,59,16,,31,B,we
338127975,32.54795317695383,33.14471509535002,8.3,169.4,511,DOUBLE DOWN,,,37,,12,,,,B,we
538003024,36.55905724239953,26.964728866918847,0,67,233,CLEAN THRASHER,IMO9379155,V7NV2,81,0,183,32,8,81,B,ew
367007750,39.20337646596145,19.981524491469447,2.8,203,511,MASTER TYLER,,WDC3431,31,0,16,6,,52,B,ns
367404580,38.97023825210398,2.77242020067262,0,-187.7,511,CONNER P,,WDE8361,31,0,17,7,,0,B,we
367412630,39.29014166804357,20.06565248148154,1.2,18.8,511,M K MCNALLY,,WDF6741,31,0,43,9,,31,B,ns
366984180,40.206406062296324,11.88470541520981,8.9,-200.6,218,AMERICAN BEAUTY,,WDB9866,31,0,48,13,,,B,we
241330000,40.696592242112025,27.768095580729756,11.7,-170.7,243,OLYMPIC LIGHT,IMO9424273,SVBZ7,80,0,333,60,22.5,89,B,we
367416270,41.223774801385744,29.129390872747194,0,-185.3,41,ICY MIST,IMO9585510,WDE9346,30,0,17,7,,30,B,ns
367309990,34.15834175746525,33.95934464267742,0.1,-49.6,511,MISS PEGGY ANN,IMO8977754,WDD9336,60,0,40,8,2.1,,B,we
477397200,41.204682087884265,29.111964328421674,3.5,-90.2,319,SPRING GLORY,IMO9603491,VRJA2,70,0,229,38,14.9,,B,ns
367740750,33.518196599364195,33.741298248059465,0,-167,235,ERNEST CAMPBELL,IMO7045982,WDI8651,31,0,35,9,4.6,32,B,we
367341890,32.90627620710256,33.146759768747785,0,-49.6,511,NEUSE,IMO8643200,WCY3174,60,0,51,13,,,B,we
565222000,35.98998303102323,24.139144327907765,15.8,-194.6,217,HANNAH SCHULTE,IMO9301938,9VEZ2,70,0,210,30,11.5,70,B,ew
367078410,39.78104273015798,1.002199424815332,0,-159.7,511,MISS CROSBY,IMO8987826,WDC7879,31,0,19,8,,52,B,we
367452650,41.636328408818706,30.193054941978264,0,-127.5,332,PORTPILOT,,WDF4502,90,0,15,4,,50,B,ns
366988470,33.71458611635956,33.68831996437972,1.2,-107.3,511,TODD G,,WDI9986,31,15,15,7,,,B,we
367380840,35.88641136396454,26.169428774930893,0,-49.6,511,DARIN ADRIAN,,WDE6485,31,12,46,12,,,B,ew
366163000,37.36531506449201,3.804771231774504,15.7,5.7,7,TEXAS ENTERPRISE,IMO7821154,KSDF,70,0,186,28,10.8,,B,we
367342960,40.29935182650041,0.07164032766619881,0,150,89,GOLDEN STATE,IMO9407562,WHDV,80,5,183,32,12.8,80,A,we
367634870,40.269700838825905,3.3484067009509006,4.9,-204.7,192,ROSINTON,,WDH6123,31,0,31,10,,,B,sn
316005239,44.21371275951913,37.80283496237132,0,203,24,LA PRAIRIE,IMO7393585,VC9004,31,0,21,7,3,,B,
366961810,43.96592051434097,38.19169606495171,0,163.4,511,PAR-A-DICE,,WCJ6204,60,15,57,20,,,B,
367183240,40.89765054662481,28.492340338318595,6.1,167.2,511,MCKINLEY,IMO8852588,WDD7206,30,0,28,8,,0,B,we
366824910,37.01622592155506,12.297801518245219,0,-126.5,293,JUAN DE FUCA,,WDA5852,30,15,22,6,,50,B,we
367514120,35.761649102706755,28.871161435339218,0,64.6,198,L/B ROBERT,IMO9649809,WDG2290,90,0,56,41,3,,B,ns
367745820,32.599682037068334,34.083350165005605,0,-196.3,265,COOPER MORAN,IMO9812547,WDI9156,31,0,28,,,,A,ns
367595560,37.15828188098535,11.3095546309484,0,-112,56,CAPT TOMMY PARRISH,,WDH2235,31,0,35,,,,B,we
366999388,36.563312637842,13.085341603688265,0,49.8,511,GOODWIN,,AETG,90,12,,,,,B,we
367374000,32.77909251827091,33.77816346794474,0,-62,236,FARWEST LEADER,IMO7943469,WAI2525,30,0,25,7,,,B,ns
366821510,36.37395516569925,22.09617933728585,2.9,-137.4,270,ROBERT INGLE,,WDA5570,31,15,34,11,,,B,ew
367004050,33.15561590307241,28.523315888639825,0,125.6,511,URSULA,,WDF2405,31,5,20,8,,52,A,we
367472940,37.24077219871089,5.1093334587104815,0,-148,511,MARATHON,,WDF6313,31,0,41,13,,,B,we
367007540,39.762770791509354,2.3473730740140866,5.7,-138.2,511,BROWN WATER VII,,WDC3416,31,0,17,6,,31,B,we
257844000,44.148622337655304,36.441675440883955,12.7,5.7,7,STAR LIMA,IMO9593866,LAPE7,70,0,204,32,12.6,,B,ns
366940000,43.32221053763132,34.356035602977855,0,-187.5,511,JACKIE B,IMO9127215,WCW4124,31,15,33,10,4.7,,B,ns
367402440,34.88717212588356,18.951866777035377,1.4,-127,511,LINDA LITTLE,,WDE8177,31,0,39,11,,,B,we
367511240,35.178101268201125,21.699218485343202,0.1,-55.4,123,AET EXCELLENCE,IMO9632595,WDG2014,90,0,56,14,4,,B,we
367546430,32.465939694548986,29.18633640185885,0,-184.2,511,RC CREPPEL,,WDG5415,31,0,21,,,,B,we
366976870,36.570780102671684,23.11662060759244,0,-116.9,174,HENRY FOSS,IMO8127555,WRB5165,31,0,30,10,4.9,,B,ew
366939330,41.955045682717596,16.677973893812872,2.5,-62.8,357,W W CRUM,,WDB7252,31,15,34,10,,31,B,ns
367330890,40.06434158669406,12.23605909074742,0,-157.7,157,SAN KENNEDY,,WDE2882,31,0,18,7,,31,B,ew
367449040,38.71613790028709,15.570434687350867,0,-176,214,DAVID MCNEMAR,,WDF4192,31,0,26,9,,,B,ew
338095126,33.46099,-117.6987,0,31.3,511,HULA MAMA,,,37,,,,,,B,
367104030,44.28002878635648,38.11162678400679,16.5,84.4,511,CAPT T LE,IMO8982553,WDC9568,60,15,28,7,,42,B,
367709820,41.19659291322093,29.106197216530912,0,-132.4,267,NORTHLAND,,WDI5560,31,12,21,,,,B,ns
538006488,38.37432088882387,8.977807950989506,13.6,177.7,186,MUSCAT SILVER,IMO9718741,V7NQ7,80,0,183,,,,B,we
368076960,36.49398949568702,25.688447556551555,0,186.8,511,DANA K,,WDK6681,31,0,29,10,3,31,B,ew
566978000,36.24714031570464,-3.2801943885842357,11.1,38,39,TORM HARDRADA,IMO9344007,9V2201,80,0,179,32,12,89,B,we
367349860,39.593898688419664,20.241946263723733,9.4,-72.4,337,LINDA MORAN,IMO9398565,WDE4187,31,12,36,11,4.6,57,B,ns
368926035,38.5887,-90.20651,0,-49.6,511,KIMMSWICK,,AENA,,15,,,,,B,
367610960,42.02325903621995,30.43228446138354,0,130.1,139,JAMIE G EYMARD,IMO9696137,WDH3792,90,0,47,20,2.3,,B,ns
367366340,43.99502428075559,36.24198016543238,2.3,121.3,324,MISS SYLVIA,,WDE5412,31,15,20,10,,,B,ns
367035930,40.78926255798933,27.914461501538852,0,-136.2,511,MAKUSHIN BAY,IMO5376208,WDC5109,31,0,39,10,2.5,39,B,we
316002974,36.45008225778547,23.069051799908525,0,31.6,511,KYNOC,,CY9299,30,0,16,6,2.6,30,B,ew
367581780,32.08488336621781,30.323048909818702,5,128.3,511,K-MARINE IV,IMO8977687,WDG8858,60,0,40,8,2,60,B,we
338170261,40.454755334321106,18.807061666327627,0.1,116.3,511,WINDSOME,,,37,,14,,,,B,ns
366961480,39.10041343826689,14.620044928644383,3.8,64.7,73,P B SHAH,,WDB8609,31,0,46,13,,,B,ew
316014160,44.163011697643014,37.799015038727305,0,168.4,20,MANITOULIN,IMO8810918,XJBX,80,0,138,23,8.4,70,B,
367368820,36.77127894033235,12.60627426999578,0,-183.3,318,ANDREW MCALLISTER,IMO9424950,WDE5582,31,0,29,10,3.7,52,B,we
367016010,36.65837642762555,14.576020616027769,0,-49.6,511,HENRY T,,WDC3903,31,0,15,7,,,B,we
367186380,36.46832534805364,23.357393741842472,0,-168.3,511,RELIANCE,IMO7367407,WDD7436,31,0,29,8,3.7,52,B,ew
316009219,38.52682262382797,8.023691534877,0,32,141,ISLAND SCOUT,IMO8967450,CFG7527,31,0,23,7,3.4,52,B,we
367787650,42.936825284040935,7.421952432917414,0,-126.5,511,JUSTICE,,WDJ5437,31,0,23,9,,52,B,sn
366975760,43.89502179051219,33.19811495701913,3,88.2,511,ROYAL PRINCE,,WCX8037,60,0,25,9,,,B,sn
366980890,34.58289905600892,30.608568135967175,0,0,511,ARKANSAS,,WH8588,31,15,22,6,,,B,ns
367420440,36.608102021667506,24.942869598775815,0.2,48,331,SUSAN K,,WDE9718,31,0,45,14,,,B,ew
367432880,35.924629605122675,25.399105269938147,0,-184.6,511,MARCI MORAN,IMO9218571,WCZ5711,31,0,28,9,3.2,,B,ew
